tag,dataset,seed,features,balance,model,family,n_features,n_train,n_train_used,n_val,svm_cap,epochs_run,max_epochs,train_seconds,predict_seconds,load_seconds,total_seconds,finished_utc,host,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,n_test,pos_rate,f1_consistency_error
CIC-IDS2017__balanced__all__GRU__seed43,CIC-IDS2017,43,all,balanced,GRU,DL,47,2639016,2639016,176407,,56.0,200,234.07509636878967,0.8825879096984863,21.451972007751465,234.95768427848816,2026-09-01T08:59:10.517983+00:00,gpu1.nitsri.ac.in,0.9971019706863872,0.9946842360119399,0.9918021223568506,0.9910331811454034,0.9914175026538758,0.9949900708961854,0.9946842360119399,0.9948370758082492,0.9896742596526908,0.9998630600042152,0.99936418041521,627292,1046,1145,126548,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__GRU__seed44,CIC-IDS2017,44,all,balanced,GRU,DL,47,2639016,2639016,176407,,31.0,200,132.02014660835266,0.9137794971466064,22.512441158294678,132.93392610549927,2026-09-01T11:58:32.968809+00:00,gpu1.nitsri.ac.in,0.9948520629445089,0.993945283761666,0.9772995396679749,0.9925759438653646,0.9848785074325321,0.9878929947813804,0.993945283761666,0.9908882606343647,0.9818196244781788,0.9997593269706272,0.9989822185667203,625394,2944,948,126745,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__GRU__seed45,CIC-IDS2017,45,all,balanced,GRU,DL,47,2639016,2639016,176407,,54.0,200,224.3689305782318,0.8862297534942627,20.883323431015015,225.25516033172607,2026-09-01T15:06:14.705325+00:00,gpu1.nitsri.ac.in,0.9962197317305772,0.9943250647481663,0.9862274189653426,0.9914639017017378,0.9888387278180455,0.9922454049866065,0.9943250647481663,0.9932816232438306,0.9865682778033998,0.9998585520542433,0.9993534734860704,626570,1768,1090,126603,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__GRU__seed46,CIC-IDS2017,46,all,balanced,GRU,DL,47,2639016,2639016,176407,,39.0,200,164.75560593605042,0.9055502414703369,20.933270692825317,165.66115617752075,2026-09-01T18:25:37.749544+00:00,gpu1.nitsri.ac.in,0.9970252542554472,0.9961106712319687,0.9877445643721422,0.9947295466470363,0.9912247501843622,0.9933359716519121,0.9961106712319687,0.9947169107049072,0.9894427523391247,0.9998395218916118,0.9993350531933675,626762,1576,673,127020,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__KNN__seed42,CIC-IDS2017,42,all,balanced,KNN,ML,47,2639016,2639016,176407,,,200,0.06740164756774902,461.2572748661041,21.86661458015442,461.3246765136719,2026-09-01T04:36:00.508879+00:00,gpu1.nitsri.ac.in,0.9950504675072848,0.9949850142225033,0.97626201692167,0.9948861723038851,0.9854861105724104,0.9876093613020146,0.9949850142225033,0.9912513152683458,0.9825666931849532,0.997445530964734,0.9850456270216378,625249,3089,653,127040,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__KNN__seed43,CIC-IDS2017,43,all,balanced,KNN,ML,47,2639016,2639016,176407,,,200,0.06875371932983398,461.1577935218811,21.451972007751465,461.22654724121094,2026-09-01T08:52:38.543845+00:00,gpu1.nitsri.ac.in,0.99485999912702,0.9947081918632555,0.9755625379314583,0.9944789455960781,0.9849299237576689,0.9872180457631701,0.9947081918632555,0.9909157671730459,0.9818976697449624,0.997378532290895,0.9849425259281178,625157,3181,705,126988,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__KNN__seed44,CIC-IDS2017,44,all,balanced,KNN,ML,47,2639016,2639016,176407,,,200,0.06887698173522949,462.3649537563324,22.512441158294678,462.4338307380676,2026-09-01T11:53:39.078259+00:00,gpu1.nitsri.ac.in,0.9948851303716382,0.9946484337216441,0.9758804630213217,0.9942909948078594,0.9849997090711612,0.98735789709254,0.9946484337216441,0.990958316729037,0.9819792675178007,0.9971752150258336,0.9844833475011969,625200,3138,729,126964,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__KNN__seed45,CIC-IDS2017,45,all,balanced,KNN,ML,47,2639016,2639016,176407,,,200,0.07102775573730469,462.3185279369354,20.883323431015015,462.38955569267273,2026-09-01T14:59:54.091179+00:00,gpu1.nitsri.ac.in,0.9949327474667045,0.9949235521414227,0.9755728590735963,0.9949096661524124,0.9851463843019266,0.9872671000949734,0.9949235521414227,0.9910458567950037,0.9821608096857753,0.9974050837133477,0.9849421203855094,625157,3181,650,127043,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__KNN__seed46,CIC-IDS2017,46,all,balanced,KNN,ML,47,2639016,2639016,176407,,,200,0.07194733619689941,464.6580219268799,20.933270692825317,464.7299692630768,2026-09-01T18:20:14.391467+00:00,gpu1.nitsri.ac.in,0.9949830099559409,0.9946761203123113,0.9765091378992062,0.994212681979435,0.9852813920008071,0.987664335044459,0.9946761203123113,0.9911287708050251,0.9823154305506477,0.9972696100094831,0.9849840918641521,625284,3054,739,126954,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__LSTM__seed42,CIC-IDS2017,42,all,balanced,LSTM,DL,47,2639016,2639016,176407,,55.0,200,214.68334436416626,0.8697364330291748,21.86661458015442,215.55308079719543,2026-09-01T04:45:55.110347+00:00,gpu1.nitsri.ac.in,0.9967699737180089,0.9943285081792028,0.9902383654937571,0.9906416170032813,0.9904399502031804,0.9941681827245957,0.9943285081792028,0.9942483240747119,0.9884966779021102,0.9998585768129613,0.9993606811762827,627091,1247,1195,126498,756031,0.16889915889692353,0.0
