dataset,balance,features,model,family,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,f1_macro_mean,f1_macro_std,f1_macro_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,mcc_mean,mcc_std,mcc_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,train_seconds_mean,train_seconds_std,train_seconds_count,predict_seconds_mean,predict_seconds_std,predict_seconds_count
CIC-IDS2017,balanced,all,CNN,DL,0.9976794602337735,0.0005175267649298431,5,0.9896491149356773,0.0037878413229567136,5,0.9966998974101948,0.0010271019288131218,5,0.9931575630549375,0.0015102561573828277,5,0.9958801851584591,0.0009112561003792259,5,0.9972892138776637,0.0002848239665099879,5,0.9917726765241814,0.0018098241617505394,5,0.9999231558639636,1.1228852791929238e-05,5,0.9996731995896309,3.5740389992937914e-05,5,619.9760086059571,115.27124128764464,5,1.2799312591552734,0.008078681509327194,5
CIC-IDS2017,balanced,all,DT,ML,0.9991010950609169,5.1445945629324254e-05,5,0.9966777345768769,0.0002381305400889182,5,0.9980045891317456,0.0001519954962951474,5,0.9973407070515276,0.0001520411220168684,5,0.9983999209315778,9.15010792294449e-05,5,0.9986642599411963,8.366617380230894e-05,5,0.9968001712962128,0.00018294750208668178,5,0.9986650413333168,8.279132841500006e-05,5,0.9950272779057204,0.0002873500331714808,5,74.54747948646545,3.4397250594595508,5,0.06421823501586914,0.002523808636018726,5
CIC-IDS2017,balanced,all,GNB,ML,0.4466343311319244,0.01807837876726076,5,0.2318443720350988,0.005969061487495541,5,0.9830906940865983,0.000703147158430447,5,0.37517411536001133,0.007835382941104311,5,0.4391856297956682,0.015945397786264456,5,0.660352263066204,0.011061901230356923,5,0.2666224071346758,0.013312293281757318,5,0.712647314560137,0.01516821124762469,5,0.26310444607952244,0.010540522975215778,5,0.6452032089233398,0.004305330996434124,5,0.10849542617797851,0.0023837807037019416,5
CIC-IDS2017,balanced,all,GRU,DL,0.9964453838533076,0.0009612844277982034,5,0.9867635726865203,0.005745655900935674,5,0.9922940176830366,0.0014733117937096264,5,0.9895130279283245,0.0027997969864294306,5,0.9936865172620847,0.001690012206324629,5,0.9947915281925683,0.0008209049716627954,5,0.9873845003934101,0.0033632910138837197,5,0.9998340052728386,4.2708672150473746e-05,5,0.9992721167785593,0.00016276000719006245,5,194.35527081489562,43.969279258967234,5,0.8772120475769043,0.04620285559245113,5
CIC-IDS2017,balanced,all,KNN,ML,0.9949422708857176,7.663314703729823e-05,5,0.9759574029694505,0.0004203906677974451,5,0.994555692167934,0.00032715646871259174,5,0.9851687039407949,0.00022333773570442074,5,0.9910600053540914,0.00013479019029138037,5,0.9947882624522274,0.00015455888179674202,5,0.9821839741368279,0.0002684055956010528,5,0.9973347944008587,0.00011048841439979572,5,0.9848795425401228,0.00022548171706433372,5,0.06960148811340332,0.0018452752094569348,5,462.3513144016266,1.4092174412593788,5
CIC-IDS2017,balanced,all,LSTM,DL,0.9960546591343477,0.000649589318279599,5,0.9837831406654866,0.0053102009682373325,5,0.9930411220662057,0.0017247020375004368,5,0.9883805329283064,0.0018729809784837615,5,0.9930022329710784,0.0011329340751735878,5,0.9948541012614512,0.0003615536982572169,5,0.9860274508538334,0.0022425919630553316,5,0.9998505180166315,1.4743381240733812e-05,5,0.9993133308988256,7.006452981410485e-05,5,196.7227482318878,20.295174823985825,5,0.8783449649810791,0.023977878021461625,5
CIC-IDS2017,balanced,all,MLP,DL,0.9961326982623728,0.0011472307772125896,5,0.9834206232564376,0.008237196175369704,5,0.9939307557971071,0.0029850699185803966,5,0.9886250744868805,0.0033109770885630025,5,0.9931476906647518,0.0020023606037295827,5,0.9952554701737302,0.0010793851436705457,5,0.986332251998008,0.003958984323472438,5,0.9998018210070982,3.579238993214981e-05,5,0.999118716032951,0.00015376928764051373,5,87.7881669998169,12.196367634320197,5,0.3914817810058594,0.0027875919263322924,5
CIC-IDS2017,balanced,all,RF,ML,0.9992875953499262,2.582817968649738e-05,5,0.997024661164312,0.00022312491833192824,5,0.9987626573108941,0.00015769878196612982,5,0.997892877193209,7.621722531035771e-05,5,0.9987321050345216,4.5882840622211114e-05,5,0.9990784661833381,6.404355955562086e-05,5,0.9974647765448598,9.166498872272447e-05,5,0.999971222505194,1.1410937948172563e-05,5,0.9998555061209118,3.97338679714283e-05,5,47.97369966506958,1.9012025824647518,5,0.43047494888305665,0.045006145167012686,5
CIC-IDS2017,balanced,all,SVM,ML,0.9434917351272633,0.0008659843378750602,5,0.7630568260190949,0.0030267331041516237,5,0.9651413938117204,0.00020349283696254,5,0.8522814186021348,0.001948357584862236,5,0.9086724798224868,0.0012506934490111078,5,0.9521167055827189,0.0005843547555884925,5,0.8265653853433083,0.0022100085664860766,5,0.9893709926047048,0.000368946266055993,5,0.9606645702148361,0.0015125508722032075,5,8.632246160507203,0.4020226572496816,5,72.64639110565186,1.3695481661932316,5
CIC-IDS2017,balanced,all,SimpleRNN,DL,0.9965985521757705,0.0006244101171896025,5,0.9869767710210107,0.004420417417041309,5,0.9929831705731715,0.0012750088483349988,5,0.9899648817480019,0.0018150824985917239,5,0.9939585516034535,0.00109605756694701,5,0.9951582264892507,0.0004298378178851709,5,0.9879280724823861,0.002177275020177715,5,0.9998383543756617,3.63900339948288e-05,5,0.9993034139221537,0.00017358630805029384,5,132.00829949378968,40.78538921705898,5,0.627101993560791,0.004079481539267184,5
CIC-IDS2017,balanced,top10,CNN,DL,0.9882906917838025,0.0035190165910671672,5,0.9483061573365233,0.020143724879427116,5,0.9847885162068397,0.008935036600721348,5,0.9660739119620155,0.009879459416153159,5,0.979498967264397,0.006009263438038902,5,0.9868954660520082,0.004199074178927308,5,0.9593469468086603,0.011734807954557488,5,0.9991031991854495,0.0004250331047475977,5,0.9958548523845809,0.001905234072517505,5,227.3538984298706,65.24343506653216,5,0.6427989482879639,0.012169736503300494,5
CIC-IDS2017,balanced,top10,DT,ML,0.9963654929493633,0.001608394597550636,5,0.9836088804288663,0.0096801636077745,5,0.9951493034073913,0.0016575201979637194,5,0.9893229966660619,0.004656126476134363,5,0.993566491716216,0.0028140812158930916,5,0.9958809772800574,0.0010186032752395346,5,0.9871739003978666,0.005564061714214628,5,0.9973322294001641,0.0009160954602335089,5,0.9887990752838973,0.004689415419706009,5,17.06709728240967,1.3302041290747793,5,0.036376571655273436,0.002491276995601643,5
CIC-IDS2017,balanced,top10,GNB,ML,0.6242355141521975,0.26818011965251415,5,0.36847739109378874,0.16634726012662207,5,0.7501993061483402,0.2075745532005793,5,0.45089062096819205,0.11547916549549553,5,0.5583114080487734,0.2088040232009924,5,0.6744180135744104,0.07951935531008923,5,0.32705209609671837,0.14505060246159654,5,0.782659309918101,0.028475181419267432,5,0.5801065442660585,0.04305277458380988,5,0.3194558143615723,0.004201958948503797,5,0.0207611083984375,0.0006119595288495376,5
CIC-IDS2017,balanced,top10,GRU,DL,0.9911466593301068,0.0007638152506601472,5,0.9656318680636575,0.003889885309440755,5,0.9825691306492917,0.0033920639118342625,5,0.9740199994322161,0.0022271620959140237,5,0.984342080446163,0.0013439358445984588,5,0.987729472365124,0.0016264947042092543,5,0.96874288534258,0.0026859107116449384,5,0.999215151510189,5.027039791412963e-05,5,0.9965453890953233,0.000284817534567283,5,335.8587244510651,64.11565442120383,5,0.7578398227691651,0.042257289448750596,5
CIC-IDS2017,balanced,top10,KNN,ML,0.9967591276019105,0.0009357394330283906,5,0.9873962908375299,0.005205595002183428,5,0.9935188303195946,0.003034991412377763,5,0.9904393788470263,0.0027367456160586733,5,0.9942441192749859,0.001650530568361595,5,0.995468231115541,0.001498611815966951,5,0.9885014481333908,0.003289371509147505,5,0.9971662425362169,0.001570404762077346,5,0.9906770438892721,0.002432402878087498,5,5.818673324584961,0.2941522567843769,5,19.95241756439209,8.072410516545762,5
CIC-IDS2017,balanced,top10,LSTM,DL,0.9884256068864901,0.002351118829801849,5,0.9501353940334466,0.014553014595400295,5,0.9833068374930498,0.005401387415281681,5,0.966368844898137,0.006589488352123808,5,0.9796893454095151,0.004009610957417105,5,0.9863863491120288,0.0022998782265754207,5,0.9596375952089303,0.007834050598577058,5,0.9990430884206164,0.00017659206149648224,5,0.9959437284543325,0.0005850317969361197,5,244.28236737251282,68.48323809798943,5,0.80809006690979,0.01993161107110117,5
CIC-IDS2017,balanced,top10,MLP,DL,0.9889031005342372,0.0009261758849034594,5,0.953779895570554,0.006771210975748986,5,0.9819379292521908,0.0028665308763864516,5,0.9676365385302681,0.002567715974088889,5,0.9804699980425063,0.001566050914356673,5,0.9861282578727237,0.0009706087627404244,5,0.9611028397911479,0.003050702879591283,5,0.9986547449595886,0.00020508451576527445,5,0.9943457069755803,0.0009257841095044884,5,124.92914023399354,35.58827879261728,5,0.30080242156982423,0.003669977751126968,5
CIC-IDS2017,balanced,top10,RF,ML,0.9966109855283711,0.0015635296155227327,5,0.9844626453328867,0.009242357009708784,5,0.995725685824595,0.0016728764007594794,5,0.9900422039230465,0.004531782684025962,5,0.9940000995415191,0.0027382356801946527,5,0.9962582924951653,0.0010803691478297557,5,0.988038087921038,0.005416929376139231,5,0.9996064274765372,0.00030695994653117054,5,0.998347734110339,0.0011006117428166275,5,31.391100263595582,1.6839008216454736,5,0.30655879974365235,0.01821782236841594,5
CIC-IDS2017,balanced,top10,SVM,ML,0.8833312390629485,0.008668023522958222,5,0.5983085452498987,0.019918110402243883,5,0.9455083677257171,0.0035912362450711307,5,0.7326910623156158,0.01428453515645402,5,0.8290316271000258,0.010126698633289025,5,0.9081018788932405,0.00458641576813118,5,0.691408005968994,0.015365331862800279,5,0.9553139315226147,0.005048013511581313,5,0.8812974849231067,0.022214792568452983,5,8.87204842567444,0.20569616699455162,5,79.52856464385987,2.4190047302991946,5
CIC-IDS2017,balanced,top10,SimpleRNN,DL,0.9891745179761149,0.0054658237381144436,5,0.95654328029739,0.0206556258195131,5,0.9806692614317152,0.012048656564942245,5,0.9684190300306401,0.01572538809891096,5,0.9809433132960793,0.009516468812304012,5,0.9857861233838164,0.007918148640887185,5,0.9620239450238852,0.018935209061973914,5,0.998879805242329,0.0008706101064072688,5,0.9950420085700475,0.00371074059693566,5,312.25067005157473,122.1406009454166,5,0.5171570301055908,0.006490043185485876,5
CIC-IDS2017,balanced,top20,CNN,DL,0.9921728077287837,0.007433018611832962,5,0.9632841586379177,0.03834917799693385,5,0.9928453399951446,0.0017879317825113428,5,0.9775370133305362,0.020665644880371932,5,0.9863985619295219,0.012598096976217334,5,0.9924407367068913,0.004877162438645954,5,0.9731898193642587,0.02442051093944918,5,0.9996713113607644,0.0003913522109955493,5,0.9984661389834641,0.0018288798792718123,5,275.09541301727296,90.44552801249056,5,0.7894163131713867,0.031274208517114765,5
CIC-IDS2017,balanced,top20,DT,ML,0.9986918525827644,0.0006409098664835157,5,0.9952092203105775,0.0021504407750796255,5,0.9970554376512417,0.0016451473186259989,5,0.996131409613836,0.001894372740571542,5,0.9976721241299987,0.0011400366677183336,5,0.9980399240400117,0.0010403260004966089,5,0.995344914473178,0.002279716323887812,5,0.9982422757773877,0.0008290345560105418,5,0.9933310635551875,0.0029417581237064366,5,30.595600652694703,2.1911476819934492,5,0.0356480598449707,0.00057979975480919,5
CIC-IDS2017,balanced,top20,GNB,ML,0.2785295841043555,0.034473474862215324,5,0.18845679069599214,0.007194252010408705,5,0.9875795854118863,0.003023742377510825,5,0.3164564776497595,0.009937297969533316,5,0.275514135465016,0.03674691171075412,5,0.5610068001127847,0.01955672774318331,5,0.1429172442767433,0.026147915901997953,5,0.6079771838938404,0.007455168211023443,5,0.20640126538582235,0.003273346718083033,5,0.4237360000610352,0.0021259898773863615,5,0.04274873733520508,0.000966277990799038,5
